Address,Start Period,End Period,Starting Balance (ETH),Ending Balance (ETH),Withdrawals (ETH),Consensus Rewards (ETH),Execution Rewards (ETH),Period Rewards (ETH)
"0xa62d...a812","2023-08-29 00:00:00 UTC","2023-08-29 23:59:59 UTC","32.01492711","32.00168529","0.01569293","0.00245111","0.00000000","0.00245111"
"0xa62d...a812","2023-08-30 00:00:00 UTC","2023-08-30 23:59:59 UTC","32.00169628","32.00413217","0.00000000","0.00243589","0.00000000","0.00243589"
"0xa62d...a812","2023-08-31 00:00:00 UTC","2023-08-31 23:59:59 UTC","32.00414317","32.00658460","0.00000000","0.00244143","0.00000000","0.00244143"
"0xadb7...cc3d","2023-08-01 00:00:00 UTC","2023-08-01 23:59:59 UTC","32.00208433","32.00463813","0.00000000","0.00255380","0.00000000","0.00255380"
"0xadb7...cc3d","2023-08-02 00:00:00 UTC","2023-08-02 23:59:59 UTC","32.00464947","32.00719048","0.00000000","0.00254101","0.00000000","0.00254101"
"0xadb7...cc3d","2023-08-03 00:00:00 UTC","2023-08-03 23:59:59 UTC","32.00720190","32.00973852","0.00000000","0.00253662","0.00000000","0.00253662"
"0xadb7...cc3d","2023-08-04 00:00:00 UTC","2023-08-04 23:59:59 UTC","32.00974967","32.01226536","0.00000000","0.00251569","0.00000000","0.00251569"
"0xadb7...cc3d","2023-08-05 00:00:00 UTC","2023-08-05 23:59:59 UTC","32.01227673","32.01479400","0.00000000","0.00251726","0.00000000","0.00251726"
"0xadb7...cc3d","2023-08-06 00:00:00 UTC","2023-08-06 23:59:59 UTC","32.01480537","32.00233135","0.01498694","0.00251292","0.00000000","0.00251292"
"0xadb7...cc3d","2023-08-07 00:00:00 UTC","2023-08-07 23:59:59 UTC","32.00234245","32.00485922","0.00000000","0.00251677","0.00000000","0.00251677"
"0xadb7...cc3d","2023-08-08 00:00:00 UTC","2023-08-08 23:59:59 UTC","32.00487038","32.00734873","0.00000000","0.00247835","0.00000000","0.00247835"
"0xadb7...cc3d","2023-08-09 00:00:00 UTC","2023-08-09 23:59:59 UTC","32.00736006","32.00985692","0.00000000","0.00249686","0.00000000","0.00249686"
"0xadb7...cc3d","2023-08-10 00:00:00 UTC","2023-08-10 23:59:59 UTC","32.00986823","32.01237887","0.00000000","0.00251063","0.00000000","0.00251063"
"0xadb7...cc3d","2023-08-11 00:00:00 UTC","2023-08-11 23:59:59 UTC","32.01239018","32.01488922","0.00000000","0.00249903","0.00000000","0.00249903"
"0xadb7...cc3d","2023-08-12 00:00:00 UTC","2023-08-12 23:59:59 UTC","32.01490051","32.00231340","0.01507743","0.00249032","0.00000000","0.00249032"
"0xadb7...cc3d","2023-08-13 00:00:00 UTC","2023-08-13 23:59:59 UTC","32.00232460","32.00483185","0.00000000","0.00250725","0.00000000","0.00250725"
"0xadb7...cc3d","2023-08-14 00:00:00 UTC","2023-08-14 23:59:59 UTC","32.00484310","32.00730546","0.00000000","0.00246236","0.00000000","0.00246236"
"0xadb7...cc3d","2023-08-15 00:00:00 UTC","2023-08-15 23:59:59 UTC","32.00731664","32.00981709","0.00000000","0.00250045","0.00000000","0.00250045"
"0xadb7...cc3d","2023-08-16 00:00:00 UTC","2023-08-16 23:59:59 UTC","32.00982829","32.01231297","0.00000000","0.00248468","0.00000000","0.00248468"
"0xadb7...cc3d","2023-08-17 00:00:00 UTC","2023-08-17 23:59:59 UTC","32.01232416","32.01480471","0.00000000","0.00248055","0.00000000","0.00248055"
"0xadb7...cc3d","2023-08-18 00:00:00 UTC","2023-08-18 23:59:59 UTC","32.01481586","32.00201460","0.01528243","0.00248117","0.00000000","0.00248117"
"0xadb7...cc3d","2023-08-19 00:00:00 UTC","2023-08-19 23:59:59 UTC","32.00202578","32.00448526","0.00000000","0.00245948","0.00000000","0.00245948"
"0xadb7...cc3d","2023-08-20 00:00:00 UTC","2023-08-20 23:59:59 UTC","32.00449619","32.00696926","0.00000000","0.00247307","0.00000000","0.00247307"
"0xadb7...cc3d","2023-08-21 00:00:00 UTC","2023-08-21 23:59:59 UTC","32.00698040","32.00944685","0.00000000","0.00246645","0.00000000","0.00246645"
"0xadb7...cc3d","2023-08-22 00:00:00 UTC","2023-08-22 23:59:59 UTC","32.00945780","32.01191530","0.00000000","0.00245750","0.00000000","0.00245750"
"0xadb7...cc3d","2023-08-23 00:00:00 UTC","2023-08-23 23:59:59 UTC","32.01192638","32.01438932","0.00000000","0.00246294","0.00000000","0.00246294"
"0xadb7...cc3d","2023-08-24 00:00:00 UTC","2023-08-24 23:59:59 UTC","32.01440026","32.00141839","0.01544859","0.00246671","0.00000000","0.00246671"
"0xadb7...cc3d","2023-08-25 00:00:00 UTC","2023-08-25 23:59:59 UTC","32.00142942","32.00387551","0.00000000","0.00244609","0.00000000","0.00244609"
"0xadb7...cc3d","2023-08-26 00:00:00 UTC","2023-08-26 23:59:59 UTC","32.00388647","32.00630938","0.00000000","0.00242290","0.00000000","0.00242290"
"0xadb7...cc3d","2023-08-27 00:00:00 UTC","2023-08-27 23:59:59 UTC","32.00632021","32.00876892","0.00000000","0.00244871","0.00000000","0.00244871"
"0xadb7...cc3d","2023-08-28 00:00:00 UTC","2023-08-28 23:59:59 UTC","32.00877984","32.01121158","0.00000000","0.00243174","0.00000000","0.00243174"
"0xadb7...cc3d","2023-08-29 00:00:00 UTC","2023-08-29 23:59:59 UTC","32.01122247","32.01366515","0.00000000","0.00244268","0.00000000","0.00244268"
"0xadb7...cc3d","2023-08-30 00:00:00 UTC","2023-08-30 23:59:59 UTC","32.01367614","32.00049068","0.01562197","0.00243652","0.00000000","0.00243652"
"0xadb7...cc3d","2023-08-31 00:00:00 UTC","2023-08-31 23:59:59 UTC","32.00050169","32.00294867","0.00000000","0.00244698","0.00000000","0.00244698"
"0xa357...6625","2023-08-01 00:00:00 UTC","2023-08-01 23:59:59 UTC","32.00206957","32.01194173","0.00000000","0.00987216","0.00000000","0.00987216"
"0xa357...6625","2023-08-02 00:00:00 UTC","2023-08-02 23:59:59 UTC","32.01253860","32.14214439","0.00000000","0.12960579","0.00000000","0.12960579"
"0xa357...6625","2023-08-03 00:00:00 UTC","2023-08-03 23:59:59 UTC","32.14274167","32.15467702","0.00000000","0.01193535","0.00000000","0.01193535"
"0xa357...6625","2023-08-04 00:00:00 UTC","2023-08-04 23:59:59 UTC","32.15468817","32.15722362","0.00000000","0.00253546","0.00000000","0.00253546"
"0xa357...6625","2023-08-05 00:00:00 UTC","2023-08-05 23:59:59 UTC","32.15723499","32.15974151","0.00000000","0.00250652","0.00000000","0.00250652"
"0xa357...6625","2023-08-06 00:00:00 UTC","2023-08-06 23:59:59 UTC","32.15975288","32.00232615","0.15993445","0.00250772","0.00000000","0.00250772"
"0xa357...6625","2023-08-07 00:00:00 UTC","2023-08-07 23:59:59 UTC","32.00233725","32.00483724","0.00000000","0.00249999","0.00000000","0.00249999"
"0xa357...6625","2023-08-08 00:00:00 UTC","2023-08-08 23:59:59 UTC","32.00484840","32.00734014","0.00000000","0.00249174","0.00000000","0.00249174"
"0xa357...6625","2023-08-09 00:00:00 UTC","2023-08-09 23:59:59 UTC","32.00735147","32.00985672","0.00000000","0.00250526","0.00000000","0.00250526"
"0xa357...6625","2023-08-10 00:00:00 UTC","2023-08-10 23:59:59 UTC","32.00986804","32.01238740","0.00000000","0.00251936","0.00000000","0.00251936"
"0xa357...6625","2023-08-11 00:00:00 UTC","2023-08-11 23:59:59 UTC","32.01239872","32.01490923","0.00000000","0.00251051","0.00000000","0.00251051"
"0xa357...6625","2023-08-12 00:00:00 UTC","2023-08-12 23:59:59 UTC","32.01492052","32.00232987","0.01510029","0.00250964","0.00000000","0.00250964"
"0xa357...6625","2023-08-13 00:00:00 UTC","2023-08-13 23:59:59 UTC","32.00234107","32.00482882","0.00000000","0.00248775","0.00000000","0.00248775"
"0xa357...6625","2023-08-14 00:00:00 UTC","2023-08-14 23:59:59 UTC","32.00484007","32.00734081","0.00000000","0.00250074","0.00000000","0.00250074"
"0xa357...6625","2023-08-15 00:00:00 UTC","2023-08-15 23:59:59 UTC","32.00735200","32.00983041","0.00000000","0.00247841","0.00000000","0.00247841"
"0xa357...6625","2023-08-16 00:00:00 UTC","2023-08-16 23:59:59 UTC","32.00984160","32.01232018","0.00000000","0.00247858","0.00000000","0.00247858"
"0xa357...6625","2023-08-17 00:00:00 UTC","2023-08-17 23:59:59 UTC","32.01233138","32.01482328","0.00000000","0.00249190","0.00000000","0.00249190"
"0xa357...6625","2023-08-18 00:00:00 UTC","2023-08-18 23:59:59 UTC","32.01483442","32.00201445","0.01529820","0.00247823","0.00000000","0.00247823"
"0xa357...6625","2023-08-19 00:00:00 UTC","2023-08-19 23:59:59 UTC","32.00202563","32.00449632","0.00000000","0.00247069","0.00000000","0.00247069"
"0xa357...6625","2023-08-20 00:00:00 UTC","2023-08-20 23:59:59 UTC","32.00450724","32.00697757","0.00000000","0.00247032","0.00000000","0.00247032"
"0xa357...6625","2023-08-21 00:00:00 UTC","2023-08-21 23:59:59 UTC","32.00698870","32.00944678","0.00000000","0.00245807","0.00000000","0.00245807"
"0xa357...6625","2023-08-22 00:00:00 UTC","2023-08-22 23:59:59 UTC","32.00945773","32.01190726","0.00000000","0.00244953","0.00000000","0.00244953"
"0xa357...6625","2023-08-23 00:00:00 UTC","2023-08-23 23:59:59 UTC","32.01191833","32.01437886","0.00000000","0.00246053","0.00000000","0.00246053"
"0xa357...6625","2023-08-24 00:00:00 UTC","2023-08-24 23:59:59 UTC","32.01438981","32.00141285","0.01543813","0.00246117","0.00000000","0.00246117"
"0xa357...6625","2023-08-25 00:00:00 UTC","2023-08-25 23:59:59 UTC","32.00142387","32.00387509","0.00000000","0.00245122","0.00000000","0.00245122"
"0xa357...6625","2023-08-26 00:00:00 UTC","2023-08-26 23:59:59 UTC","32.00388605","32.00634497","0.00000000","0.00245892","0.00000000","0.00245892"
"0xa357...6625","2023-08-27 00:00:00 UTC","2023-08-27 23:59:59 UTC","32.00635581","32.00880460","0.00000000","0.00244879","0.00000000","0.00244879"
"0xa357...6625","2023-08-28 00:00:00 UTC","2023-08-28 23:59:59 UTC","32.00881552","32.01124516","0.00000000","0.00242964","0.00000000","0.00242964"
"0xa357...6625","2023-08-29 00:00:00 UTC","2023-08-29 23:59:59 UTC","32.01125605","32.01366130","0.00000000","0.00240525","0.00000000","0.00240525"
"0xa357...6625","2023-08-30 00:00:00 UTC","2023-08-30 23:59:59 UTC","32.01367229","32.00048808","0.01560460","0.00242039","0.00000000","0.00242039"
"0xa357...6625","2023-08-31 00:00:00 UTC","2023-08-31 23:59:59 UTC","32.00049908","32.00294075","0.00000000","0.00244167","0.00000000","0.00244167"
"0x82cb...4bf0","2023-08-01 00:00:00 UTC","2023-08-01 23:59:59 UTC","32.03945726","32.04200039","0.00000000","0.00254313","0.05859093","0.06113406"
"0x82cb...4bf0","2023-08-02 00:00:00 UTC","2023-08-02 23:59:59 UTC","32.04201173","32.04455870","0.00000000","0.00254697","0.00000000","0.00254697"
"0x82cb...4bf0","2023-08-03 00:00:00 UTC","2023-08-03 23:59:59 UTC","32.04457012","32.04709282","0.00000000","0.00252270","0.00000000","0.00252270"
"0x82cb...4bf0","2023-08-04 00:00:00 UTC","2023-08-04 23:59:59 UTC","32.04710397","32.04964506","0.00000000","0.00254110","0.00000000","0.00254110"
"0x82cb...4bf0","2023-08-05 00:00:00 UTC","2023-08-05 23:59:59 UTC","32.04965644","32.05218178","0.00000000","0.00252534","0.00000000","0.00252534"
"0x82cb...4bf0","2023-08-06 00:00:00 UTC","2023-08-06 23:59:59 UTC","32.05219315","32.00234779","0.05237186","0.00252651","0.00000000","0.00252651"
"0x82cb...4bf0","2023-08-07 00:00:00 UTC","2023-08-07 23:59:59 UTC","32.00235889","32.00487824","0.00000000","0.00251934","0.00000000","0.00251934"
"0x82cb...4bf0","2023-08-08 00:00:00 UTC","2023-08-08 23:59:59 UTC","32.00488939","32.00737368","0.00000000","0.00248429","0.00000000","0.00248429"
"0x82cb...4bf0","2023-08-09 00:00:00 UTC","2023-08-09 23:59:59 UTC","32.00738501","32.00990453","0.00000000","0.00251952","0.00000000","0.00251952"
"0x82cb...4bf0","2023-08-10 00:00:00 UTC","2023-08-10 23:59:59 UTC","32.00991585","32.01242064","0.00000000","0.00250479","0.00000000","0.00250479"
"0x82cb...4bf0","2023-08-11 00:00:00 UTC","2023-08-11 23:59:59 UTC","32.01243195","32.01492047","0.00000000","0.00248851","0.00000000","0.00248851"
"0x82cb...4bf0","2023-08-12 00:00:00 UTC","2023-08-12 23:59:59 UTC","32.01493176","32.10925156","0.01510298","0.10942278","0.00000000","0.10942278"
"0x82cb...4bf0","2023-08-13 00:00:00 UTC","2023-08-13 23:59:59 UTC","32.10981956","32.15384652","0.00000000","0.04402697","0.00000000","0.04402697"
"0x82cb...4bf0","2023-08-14 00:00:00 UTC","2023-08-14 23:59:59 UTC","32.15385777","32.15635855","0.00000000","0.00250078","0.00000000","0.00250078"
"0x82cb...4bf0","2023-08-15 00:00:00 UTC","2023-08-15 23:59:59 UTC","32.15636973","32.15885681","0.00000000","0.00248708","0.00000000","0.00248708"
"0x82cb...4bf0","2023-08-16 00:00:00 UTC","2023-08-16 23:59:59 UTC","32.15886800","32.16134688","0.00000000","0.00247888","0.00000000","0.00247888"
"0x82cb...4bf0","2023-08-17 00:00:00 UTC","2023-08-17 23:59:59 UTC","32.16135808","32.16383092","0.00000000","0.00247283","0.00000000","0.00247283"
"0x82cb...4bf0","2023-08-18 00:00:00 UTC","2023-08-18 23:59:59 UTC","32.16384206","32.00201722","0.16430585","0.00248101","0.00000000","0.00248101"
"0x82cb...4bf0","2023-08-19 00:00:00 UTC","2023-08-19 23:59:59 UTC","32.00202839","32.00449916","0.00000000","0.00247077","0.00000000","0.00247077"
"0x82cb...4bf0","2023-08-20 00:00:00 UTC","2023-08-20 23:59:59 UTC","32.00451008","32.00696663","0.00000000","0.00245654","0.00000000","0.00245654"
"0x82cb...4bf0","2023-08-21 00:00:00 UTC","2023-08-21 23:59:59 UTC","32.00697776","32.00943378","0.00000000","0.00245601","0.00000000","0.00245601"
"0x82cb...4bf0","2023-08-22 00:00:00 UTC","2023-08-22 23:59:59 UTC","32.00944474","32.01191314","0.00000000","0.00246840","0.00000000","0.00246840"
"0x82cb...4bf0","2023-08-23 00:00:00 UTC","2023-08-23 23:59:59 UTC","32.01192421","32.01439577","0.00000000","0.00247155","0.00000000","0.00247155"
"0x82cb...4bf0","2023-08-24 00:00:00 UTC","2023-08-24 23:59:59 UTC","32.01440671","32.00141831","0.01545218","0.00246377","0.00000000","0.00246377"
"0x82cb...4bf0","2023-08-25 00:00:00 UTC","2023-08-25 23:59:59 UTC","32.00142933","32.00386718","0.00000000","0.00243785","0.00000000","0.00243785"
"0x82cb...4bf0","2023-08-26 00:00:00 UTC","2023-08-26 23:59:59 UTC","32.00387814","32.00632316","0.00000000","0.00244502","0.00000000","0.00244502"
"0x82cb...4bf0","2023-08-27 00:00:00 UTC","2023-08-27 23:59:59 UTC","32.00633400","32.00877670","0.00000000","0.00244270","0.00000000","0.00244270"
"0x82cb...4bf0","2023-08-28 00:00:00 UTC","2023-08-28 23:59:59 UTC","32.00878762","32.01121117","0.00000000","0.00242356","0.00000000","0.00242356"
"0x82cb...4bf0","2023-08-29 00:00:00 UTC","2023-08-29 23:59:59 UTC","32.01122206","32.01364309","0.00000000","0.00242103","0.00000000","0.00242103"
"0x82cb...4bf0","2023-08-30 00:00:00 UTC","2023-08-30 23:59:59 UTC","32.01365408","32.00050412","0.01560249","0.00245253","0.00000000","0.00245253"
"0x82cb...4bf0","2023-08-31 00:00:00 UTC","2023-08-31 23:59:59 UTC","32.00051512","32.00294059","0.00000000","0.00242547","0.00000000","0.00242547"
"0x936f...91ca","2023-08-01 00:00:00 UTC","2023-08-01 23:59:59 UTC","32.00207327","32.00462448","0.00000000","0.00255121","0.00000000","0.00255121"
"0x936f...91ca","2023-08-02 00:00:00 UTC","2023-08-02 23:59:59 UTC","32.00463582","32.00717456","0.00000000","0.00253874","0.00000000","0.00253874"
"0x936f...91ca","2023-08-03 00:00:00 UTC","2023-08-03 23:59:59 UTC","32.00718598","32.00968986","0.00000000","0.00250388","0.00000000","0.00250388"
"0x936f...91ca","2023-08-04 00:00:00 UTC","2023-08-04 23:59:59 UTC","32.00968730","32.01220834","0.00000000","0.00252104","0.00000000","0.00252104"
"0x936f...91ca","2023-08-05 00:00:00 UTC","2023-08-05 23:59:59 UTC","32.01221971","32.01475108","0.00000000","0.00253136","0.00000000","0.00253136"
"0x936f...91ca","2023-08-06 00:00:00 UTC","2023-08-06 23:59:59 UTC","32.01476245","32.00230557","0.01494402","0.00248714","0.00000000","0.00248714"
"0x936f...91ca","2023-08-07 00:00:00 UTC","2023-08-07 23:59:59 UTC","32.00231667","32.00481677","0.00000000","0.00250010","0.00000000","0.00250010"
"0x936f...91ca","2023-08-08 00:00:00 UTC","2023-08-08 23:59:59 UTC","32.00482793","32.00734216","0.00000000","0.00251424","0.00000000","0.00251424"
"0x936f...91ca","2023-08-09 00:00:00 UTC","2023-08-09 23:59:59 UTC","32.00735349","32.00985659","0.00000000","0.00250310","0.00000000","0.00250310"
"0x936f...91ca","2023-08-10 00:00:00 UTC","2023-08-10 23:59:59 UTC","32.00986791","32.01238139","0.00000000","0.00251348","0.00000000","0.00251348"
"0x936f...91ca","2023-08-11 00:00:00 UTC","2023-08-11 23:59:59 UTC","32.01239270","32.01488642","0.00000000","0.00249372","0.00000000","0.00249372"
"0x936f...91ca","2023-08-12 00:00:00 UTC","2023-08-12 23:59:59 UTC","32.01489771","32.00233237","0.01507181","0.00250647","0.00000000","0.00250647"
"0x936f...91ca","2023-08-13 00:00:00 UTC","2023-08-13 23:59:59 UTC","32.00234357","32.00484519","0.00000000","0.00250162","0.00000000","0.00250162"
"0x936f...91ca","2023-08-14 00:00:00 UTC","2023-08-14 23:59:59 UTC","32.00485644","32.00732756","0.00000000","0.00247112","0.00000000","0.00247112"
